mlb_id,player_name,ogba_team_code,positions,is_pitcher,R,HR,RBI,SB,H,AB,AVG,W,SV,K,ER,IP,ERA,BB_H,WHIP
647304,J. Naylor,DMK,1B,0,61,15,71,16,123,428,0.287,0,0,0,0,0.0,0.0,0,0.0
683737,M. Busch,DLC,1B,0,62,26,76,3,116,433,0.268,0,0,0,0,0.0,0.0,0,0.0
687952,C. Encarnacion-Strand,DDG,1B,0,13,6,19,0,27,130,0.208,0,0,0,0,0.0,0.0,0,0.0
621566,M. Olson,SKD,1B,0,77,21,76,1,142,524,0.271,0,0,0,0,0.0,0.0,0,0.0
518692,F. Freeman,RGS,1B,0,67,18,75,4,137,457,0.3,0,0,0,0,0.0,0.0,0,0.0
630105,J. Cronenworth,DMK,2B,0,50,10,49,2,86,344,0.25,0,0,0,0,0.0,0.0,0,0.0
672640,O. Lopez,DLC,2B,0,56,12,65,12,109,445,0.245,0,0,0,0,0.0,0.0,0,0.0
663538,N. Hoerner,DDG,2B,0,66,5,54,23,143,494,0.289,0,0,0,0,0.0,0.0,0,0.0
680574,M. McLain,SKD,2B,0,60,12,41,16,95,430,0.221,0,0,0,0,0.0,0.0,0,0.0
671277,L. Garcia,RGS,2B,0,56,11,55,10,108,415,0.26,0,0,0,0,0.0,0.0,0,0.0
645277,O. Albies,DVD,2B,0,61,13,60,12,123,522,0.236,0,0,0,0,0.0,0.0,0,0.0
681082,B. Stott,LDY,2B,0,56,9,54,23,102,415,0.246,0,0,0,0,0.0,0.0,0,0.0
682829,E. De La Cruz,DMK,SS,0,93,19,77,32,145,532,0.273,0,0,0,0,0.0,0.0,0,0.0
621020,D. Swanson,DLC,SS,0,74,21,64,11,124,496,0.25,0,0,0,0,0.0,0.0,0,0.0
596019,F. Lindor,DDG,SS,0,94,26,76,25,147,548,0.268,0,0,0,0,0.0,0.0,0,0.0
607208,T. Turner,SKD,SS,0,92,14,64,34,168,560,0.3,0,0,0,0,0.0,0.0,0,0.0
665833,O. Cruz,RGS,SS,0,60,19,53,35,83,408,0.203,0,0,0,0,0.0,0.0,0,0.0
666149,T. Fitzgerald,DVD,SS,0,19,4,14,9,47,217,0.217,0,0,0,0,0.0,0.0,0,0.0
605141,M. Betts,LDY,SS,0,80,14,59,8,121,488,0.248,0,0,0,0,0.0,0.0,0,0.0
593428,X. Bogaerts,TSH,SS,0,60,10,49,20,124,473,0.262,0,0,0,0,0.0,0.0,0,0.0
571448,N. Arenado,DMK,3B,0,43,10,43,2,85,361,0.235,0,0,0,0,0.0,0.0,0,0.0
641857,R. McMahon,DLC,3B,0,51,18,41,2,88,420,0.21,0,0,0,0,0.0,0.0,0,0.0
660761,E. Suarez,DDG,3B,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0
664761,A. Bohm,SKD,3B,0,46,9,51,2,113,403,0.28,0,0,0,0,0.0,0.0,0,0.0
656305,M. Chapman,RGS,3B,0,60,18,50,9,85,370,0.23,0,0,0,0,0.0,0.0,0,0.0
663586,A. Riley,DVD,3B,0,54,16,54,2,108,416,0.26,0,0,0,0,0.0,0.0,0,0.0
592518,M. Machado,TSH,3B,0,79,21,79,12,151,526,0.287,0,0,0,0,0.0,0.0,0,0.0
665487,F. Tatis Jr.,DMK,OF,0,93,18,57,27,135,508,0.266,0,0,0,0,0.0,0.0,0,0.0
682998,C. Carroll,DLC,OF,0,91,28,68,21,123,481,0.256,0,0,0,0,0.0,0.0,0,0.0
694192,J. Chourio,DDG,OF,0,72,18,68,18,125,449,0.278,0,0,0,0,0.0,0.0,0,0.0
680977,B. Donovan,RGS,OF,0,57,9,45,3,118,423,0.279,0,0,0,0,0.0,0.0,0,0.0
701538,J. Merrill,DVD,OF,0,42,9,51,1,91,349,0.261,0,0,0,0,0.0,0.0,0,0.0
606192,T. Hernandez,LDY,OF,0,52,21,76,5,103,417,0.247,0,0,0,0,0.0,0.0,0,0.0
671739,M. Harris II,TSH,OF,0,46,17,73,15,128,514,0.249,0,0,0,0,0.0,0.0,0,0.0
686611,D. Crews,DMK,OF,0,33,7,19,14,42,209,0.201,0,0,0,0,0.0,0.0,0,0.0
660670,R. Acuna Jr.,DLC,OF,0,57,15,31,6,73,249,0.293,0,0,0,0,0.0,0.0,0,0.0
695578,J. Wood,DDG,OF,0,73,26,84,15,131,503,0.26,0,0,0,0,0.0,0.0,0,0.0
592206,"N,. Castellanos",SKD,OF,0,66,16,61,4,124,493,0.252,0,0,0,0,0.0,0.0,0,0.0
668715,S. Steer,RGS,OF,0,55,17,63,6,106,451,0.235,0,0,0,0,0.0,0.0,0,0.0
673548,S. Suzuki,DVD,OF,0,66,27,87,4,123,490,0.251,0,0,0,0,0.0,0.0,0,0.0
665742,J. Soto,LDY,OF,0,102,35,84,25,121,476,0.254,0,0,0,0,0.0,0.0,0,0.0
691718,P. Crow-Armstrong,TSH,OF,0,81,28,83,31,129,505,0.255,0,0,0,0,0.0,0.0,0,0.0
666134,N. Jones,DMK,OF,0,32,5,31,8,67,305,0.22,0,0,0,0,0.0,0.0,0,0.0
686668,B. Doyle,DDG,OF,0,51,14,51,15,102,419,0.243,0,0,0,0,0.0,0.0,0,0.0
663457,L. Nootbaar,SKD,OF,0,60,13,44,4,100,422,0.237,0,0,0,0,0.0,0.0,0,0.0
668804,B. Reynolds,DVD,OF,0,54,14,68,3,124,506,0.245,0,0,0,0,0.0,0.0,0,0.0
808982,J.H. Lee,LDY,OF,0,63,7,48,10,126,487,0.259,0,0,0,0,0.0,0.0,0,0.0
664023,I. Happ,TSH,OF,0,71,17,59,5,108,464,0.233,0,0,0,0,0.0,0.0,0,0.0
686217,S. Frelick,DMK,OF,0,63,10,53,18,132,448,0.295,0,0,0,0,0.0,0.0,0,0.0
669242,T. Edman,DLC,OF,0,42,11,42,3,67,293,0.229,0,0,0,0,0.0,0.0,0,0.0
666971,L. Gurriel Jr.,SKD,OF,0,52,19,80,10,124,497,0.249,0,0,0,0,0.0,0.0,0,0.0
607043,B. Nimmo,RGS,OF,0,70,22,77,12,127,482,0.263,0,0,0,0,0.0,0.0,0,0.0
671218,H. Ramos,DVD,OF,0,68,16,57,6,136,514,0.265,0,0,0,0,0.0,0.0,0,0.0
595777,J Profar,TSH,OF,0,44,12,37,8,60,224,0.268,0,0,0,0,0.0,0.0,0,0.0
660821,J. Sanchez,DMK,OF,0,51,12,42,9,97,380,0.255,0,0,0,0,0.0,0.0,0,0.0
669003,G. Mitchell,DLC,OF,0,9,0,3,3,14,68,0.206,0,0,0,0,0.0,0.0,0,0.0
670770,T. Friedl,SKD,OF,0,70,10,41,11,126,481,0.262,0,0,0,0,0.0,0.0,0,0.0
643446,J. McNeil,RGS,OF,0,36,12,47,2,81,320,0.253,0,0,0,0,0.0,0.0,0,0.0
676475,A. Burleson,LDY,OF,0,47,16,60,5,123,430,0.286,0,0,0,0,0.0,0.0,0,0.0
664983,J. McCarthy,TSH,OF,0,14,3,12,6,30,149,0.201,0,0,0,0,0.0,0.0,0,0.0
671056,I. Herrera,DMK,C,0,35,11,49,6,85,299,0.284,0,0,0,0,0.0,0.0,0,0.0
672275,P. Bailey,DLC,C,0,32,2,38,0,70,333,0.21,0,0,0,0,0.0,0.0,0,0.0
660688,K. Ruiz,DDG,C,0,19,2,25,0,63,255,0.247,0,0,0,0,0.0,0.0,0,0.0
686948,D. Baldwin,SKD,C,0,40,14,60,0,87,313,0.278,0,0,0,0,0.0,0.0,0,0.0
669257,W. Smith,LDY,C,0,59,16,58,2,100,347,0.288,0,0,0,0,0.0,0.0,0,0.0
663886,T. Stephenson,DMK,C,0,32,9,36,0,57,252,0.226,0,0,0,0,0.0,0.0,0,0.0
687221,D. Rushing,DLC,C,0,12,3,21,0,21,111,0.189,0,0,0,0,0.0,0.0,0,0.0
682626,F. Alvarez,DDG,C,0,24,7,24,0,49,185,0.265,0,0,0,0,0.0,0.0,0,0.0
696100,H. Goodman,SKD,C,0,63,26,76,1,123,447,0.275,0,0,0,0,0.0,0.0,0,0.0
672515,G. Moreno,DVD,C,0,34,7,29,1,56,202,0.277,0,0,0,0,0.0,0.0,0,0.0
669221,S. Murphy,LDY,C,0,34,16,45,0,58,282,0.206,0,0,0,0,0.0,0.0,0,0.0
663647,K. Hayes,SKD,CM,0,40,5,36,12,95,390,0.244,0,0,0,0,0.0,0.0,0,0.0
681393,C. Norby,RGS,CM,0,36,6,29,7,64,260,0.246,0,0,0,0,0.0,0.0,0,0.0
668901,M. Vientos,DVD,CM,0,37,15,53,0,85,346,0.246,0,0,0,0,0.0,0.0,0,0.0
807713,M. Shaw,LDY,CM,0,45,11,35,15,71,308,0.231,0,0,0,0,0.0,0.0,0,0.0
547180,B. Harper,TSH,CM,0,62,22,63,11,111,412,0.269,0,0,0,0,0.0,0.0,0,0.0
642715,W. Adames,DMK,MI,0,83,25,71,8,115,501,0.23,0,0,0,0,0.0,0.0,0,0.0
682668,L. Acuna,DLC,MI,0,26,0,7,12,38,159,0.239,0,0,0,0,0.0,0.0,0,0.0
682928,CJ. Abrams,DDG,MI,0,79,17,53,28,130,483,0.269,0,0,0,0,0.0,0.0,0,0.0
669364,X. Edwards,SKD,MI,0,68,2,34,24,139,490,0.284,0,0,0,0,0.0,0.0,0,0.0
678662,E. Tovar,RGS,MI,0,36,8,23,4,71,268,0.265,0,0,0,0,0.0,0.0,0,0.0
621121,G. Perdomo,DVD,MI,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0
691026,M. Winn,LDY,MI,0,69,9,50,9,120,470,0.255,0,0,0,0,0.0,0.0,0,0.0
668930,B. Turang,TSH,MI,0,84,15,67,22,141,494,0.285,0,0,0,0,0.0,0.0,0,0.0
660271,S. Ohtani,DLC,DH,0,240,88,168,34,278,1012,0.275,1,0,44,15,32.33,4.18,39,1.21
592885,C. Yelich,DDG,DH,0,81,27,92,15,133,492,0.27,0,0,0,0,0.0,0.0,0,0.0
606466,K. Marte,SKD,DH,0,73,23,60,4,111,384,0.289,0,0,0,0,0.0,0.0,0,0.0
607192,T. Glasnow,DMK,P,1,0,0,0,0,0,0,0.0,1,0,81,26,68.67,3.41,76,1.11
694973,P. Skenes,DLC,P,1,0,0,0,0,0,0,0.0,9,0,187,38,167.0,2.05,159,0.95
669203,C. Burnes,DDG,P,1,0,0,0,0,0,0,0.0,3,0,63,19,64.33,2.66,75,1.17
