player_name,team_code,mlb_team,position,is_pitcher,is_keeper,draft_dollars
Mr. Rotoboto,UNK-5,,?,FALSE,FALSE,0
J. Phillips,UNK-1,,C,FALSE,FALSE,29
B. Ausmus,UNK-3,,C,FALSE,FALSE,1
P. Lo Duca,UNK-5,,C,FALSE,FALSE,1
K. Hill,UNK-7,,C,FALSE,FALSE,19
M. Lieberthal,UNK-10,,C,FALSE,FALSE,13
J. Estrada,UNK-12,,C,FALSE,FALSE,17
M. Piazza,UNK-14,,C,FALSE,FALSE,17
B Schneider,UNK-1,,C,FALSE,FALSE,1
M. Matheny,UNK-3,,C,FALSE,FALSE,18
J. LaRue,UNK-5,,C,FALSE,FALSE,18
M. Barrett,UNK-7,,C,FALSE,FALSE,15
Y. Molina,UNK-10,,C,FALSE,FALSE,1
B. Santiago,UNK-14,,C,FALSE,FALSE,24
A. LaRoche,UNK-1,,1B,FALSE,FALSE,24
C. Wilson,UNK-3,,1B,FALSE,FALSE,5
S. Green,UNK-5,,1B,FALSE,FALSE,5
L. Overbay,UNK-7,,1B,FALSE,FALSE,30
J. Thome,UNK-10,,1B,FALSE,FALSE,41
A. Pujols,UNK-12,,1B,FALSE,FALSE,25
T. Helton,UNK-14,,1B,FALSE,FALSE,25
L. Castillo,UNK-1,,2B,FALSE,FALSE,5
J. Reyes,UNK-3,,2B,FALSE,FALSE,12
A. Miles,UNK-5,,2B,FALSE,FALSE,12
M. Loretta,UNK-7,,2B,FALSE,FALSE,30
J. Kent,UNK-10,,2B,FALSE,FALSE,6
M. Giles,UNK-12,,2B,FALSE,FALSE,6
T. Walker,UNK-14,,2B,FALSE,FALSE,6
P. Feliz,UNK-1,,SS,FALSE,FALSE,28
K. Matsui,UNK-3,,SS,FALSE,FALSE,29
N. Garciaparra,UNK-5,,SS,FALSE,FALSE,29
J. Rollins,UNK-7,,SS,FALSE,FALSE,7
J. Wilson,UNK-10,,SS,FALSE,FALSE,1
C. Izturis,UNK-12,,SS,FALSE,FALSE,25
C. Guzman,UNK-14,,SS,FALSE,FALSE,25
S. Rolen,UNK-1,,3B,FALSE,FALSE,5
M. Lowell,UNK-3,,3B,FALSE,FALSE,32
M. Ensberg,UNK-5,,3B,FALSE,FALSE,32
M. Cabrera,UNK-7,,3B,FALSE,FALSE,50
T. Glaus,UNK-10,,3B,FALSE,FALSE,30
D. Wright,UNK-12,,3B,FALSE,FALSE,28
G. Atkins,UNK-14,,3B,FALSE,FALSE,28
M. Grudzielanek,UNK-1,,MI,FALSE,FALSE,1
T. Wigginton,UNK-3,,MI,FALSE,FALSE,19
R. Durham,UNK-5,,MI,FALSE,FALSE,19
D. Eckstein,UNK-7,,MI,FALSE,FALSE,11
J. Vidro,UNK-10,,MI,FALSE,FALSE,6
C. Utley,UNK-12,,MI,FALSE,FALSE,23
A. Gonzalez,UNK-14,,MI,FALSE,FALSE,23
S. Burroughs,UNK-1,,CO,FALSE,FALSE,29
V. Castilla,UNK-3,,CO,FALSE,FALSE,30
S. Casey,UNK-5,,CO,FALSE,FALSE,30
P. Nevin,UNK-7,,CO,FALSE,FALSE,28
D. Lee,UNK-10,,CO,FALSE,FALSE,6
C. Delgado,UNK-12,,CO,FALSE,FALSE,1
J. Valentine,UNK-14,,CO,FALSE,FALSE,1
J. Pierre,UNK-1,,OF,FALSE,FALSE,38
B. Bonds,UNK-3,,OF,FALSE,FALSE,22
C. Beltran,UNK-5,,OF,FALSE,FALSE,22
C. Jones,UNK-7,,OF,FALSE,FALSE,22
L. Walker,UNK-10,,OF,FALSE,FALSE,39
J.D. Drew,UNK-12,,OF,FALSE,FALSE,38
J. Guillen,UNK-14,,OF,FALSE,FALSE,38
A. Dunn,UNK-1,,OF,FALSE,FALSE,15
A. Kearns,UNK-3,,OF,FALSE,FALSE,36
Pr. Wilson,UNK-5,,OF,FALSE,FALSE,36
B. Giles,UNK-7,,OF,FALSE,FALSE,1
M. Grissom,UNK-10,,OF,FALSE,FALSE,23
R. Klesko,UNK-12,,OF,FALSE,FALSE,22
J. Bay,UNK-14,,OF,FALSE,FALSE,22
M. Bradley,UNK-1,,OF,FALSE,FALSE,23
C. Lee,UNK-3,,OF,FALSE,FALSE,15
C. Patterson,UNK-5,,OF,FALSE,FALSE,15
K. Griffey,UNK-7,,OF,FALSE,FALSE,48
M. Carmeron,UNK-10,,OF,FALSE,FALSE,16
L. Berkman,UNK-12,,OF,FALSE,FALSE,18
M. Alou,UNK-14,,OF,FALSE,FALSE,18
J. Edmonds,UNK-1,,OF,FALSE,FALSE,30
M. Lawton,UNK-3,,OF,FALSE,FALSE,1
P. Burrell,UNK-5,,OF,FALSE,FALSE,1
D. Roberts,UNK-7,,OF,FALSE,FALSE,17
L. Gonzalez,UNK-10,,OF,FALSE,FALSE,9
R. Sanders,UNK-12,,OF,FALSE,FALSE,18
M. Holliday,UNK-14,,OF,FALSE,FALSE,18
G. Jenkins,UNK-1,,OF,FALSE,FALSE,25
B. Clark,UNK-3,,OF,FALSE,FALSE,32
C. Floyd,UNK-5,,OF,FALSE,FALSE,32
J. Burnitz,UNK-7,,OF,FALSE,FALSE,1
R. Mondesi,UNK-10,,OF,FALSE,FALSE,8
C. Hawpe,UNK-14,,OF,FALSE,FALSE,1
R. Church,UNK-1,,R,FALSE,FALSE,1
W. Taveras,UNK-3,,R,FALSE,FALSE,16
J.J. Hardy,UNK-5,,R,FALSE,FALSE,16
C. Barmes,UNK-7,,R,FALSE,FALSE,1
J. Dubois,UNK-10,,R,FALSE,FALSE,1
C. Burke,UNK-12,,R,FALSE,FALSE,1
L. Scott,UNK-14,,R,FALSE,FALSE,1
J. Beckett,UNK-1,,P,TRUE,FALSE,54
M. Prior,UNK-3,,P,TRUE,FALSE,24
B. Sheets,UNK-5,,P,TRUE,FALSE,24
K. Wood,UNK-7,,P,TRUE,FALSE,24
J. Peavy,UNK-10,,P,TRUE,FALSE,18
J. Schmidt,UNK-12,,P,TRUE,FALSE,37
R. Clemens,UNK-14,,P,TRUE,FALSE,37
B. Webb,UNK-1,,P,TRUE,FALSE,1
C. Zambrano,UNK-3,,P,TRUE,FALSE,6
J. Suppan,UNK-5,,P,TRUE,FALSE,6
M. Morris,UNK-7,,P,TRUE,FALSE,16
Od. Perez,UNK-10,,P,TRUE,FALSE,29
T. Hudson,UNK-12,,P,TRUE,FALSE,10
R. Oswalt,UNK-14,,P,TRUE,FALSE,10
G. Maddux,UNK-1,,P,TRUE,FALSE,1
A. Harang,UNK-3,,P,TRUE,FALSE,18
P. Wilson,UNK-5,,P,TRUE,FALSE,18
D. Willis,UNK-7,,P,TRUE,FALSE,1
A. Leiter,UNK-10,,P,TRUE,FALSE,40
M. Mulder,UNK-12,,P,TRUE,FALSE,50
P. Martinez,UNK-14,,P,TRUE,FALSE,50
K. Benson,UNK-1,,P,TRUE,FALSE,1
B. Lawrence,UNK-3,,P,TRUE,FALSE,18
H. Ramirez,UNK-5,,P,TRUE,FALSE,18
A. Pettitte,UNK-7,,P,TRUE,FALSE,4
D. Davis,UNK-10,,P,TRUE,FALSE,39
T. Glavine,UNK-12,,P,TRUE,FALSE,1
J. Smoltz,UNK-14,,P,TRUE,FALSE,1
J. Lieber,UNK-1,,P,TRUE,FALSE,1
J. Thomson,UNK-3,,P,TRUE,FALSE,5
S. Erickson,UNK-5,,P,TRUE,FALSE,5
Russ Ortiz,UNK-7,,P,TRUE,FALSE,5
J. Marquis,UNK-10,,P,TRUE,FALSE,50
L. Hernandez,UNK-12,,P,TRUE,FALSE,8
Ol. Perez,UNK-14,,P,TRUE,FALSE,8
C. Carpenter,UNK-1,,P,TRUE,FALSE,1
W. Williams,UNK-3,,P,TRUE,FALSE,9
B. Kim,UNK-5,,P,TRUE,FALSE,9
A. Eaton,UNK-7,,P,TRUE,FALSE,3
R. Wolf,UNK-10,,P,TRUE,FALSE,11
D. Lowe,UNK-14,,P,TRUE,FALSE,1
J. Weaver,UNK-1,,P,TRUE,FALSE,12
E. Milton,UNK-3,,P,TRUE,FALSE,7
K. Wells,UNK-5,,P,TRUE,FALSE,7
D. Graves,UNK-7,,P,TRUE,FALSE,5
B. Penny,UNK-10,,P,TRUE,FALSE,5
C. Cordero,UNK-14,,P,TRUE,FALSE,15
B. Looper,UNK-1,,P,TRUE,FALSE,41
G. Aquino,UNK-3,,P,TRUE,FALSE,19
A. Benitez,UNK-5,,P,TRUE,FALSE,19
L. Hawkins,UNK-7,,P,TRUE,FALSE,31
B. Lidge,UNK-10,,P,TRUE,FALSE,5
M. Adams,UNK-14,,P,TRUE,FALSE,1
B. Wagner,UNK-1,,P,TRUE,FALSE,34
D. Kolb,UNK-3,,P,TRUE,FALSE,26
J. Isringhausen,UNK-5,,P,TRUE,FALSE,26
T. Hoffman,UNK-7,,P,TRUE,FALSE,31
E. Gagne,UNK-10,,P,TRUE,FALSE,3
Y. Brazoban,UNK-14,,P,TRUE,FALSE,30
