player_name,team_code,mlb_team,position,is_pitcher,is_keeper,draft_dollars
J. Baker,DKG,,C,FALSE,FALSE,2
B. Molina,DMK,,C,FALSE,FALSE,1
R. Martin,DDG,,C,FALSE,FALSE,1
B. McCann,SKD,,C,FALSE,FALSE,1
R. Doumit,RGS,,C,FALSE,FALSE,8
Y. Molina,MNB,,C,FALSE,FALSE,60
I. Rodriguez,BOH,,C,FALSE,FALSE,60
C. Iannetta,FLU,,C,FALSE,FALSE,60
R. Hernandez,DKG,,1B,FALSE,FALSE,26
C. Ruiz,DMK,,1B,FALSE,FALSE,70
J. Flores,DDG,,1B,FALSE,FALSE,70
N. Hundley,SKD,,1B,FALSE,FALSE,31
B. Schneider,RGS,,1B,FALSE,FALSE,28
J. Kendall,MNB,,1B,FALSE,FALSE,20
C. Synder,BOH,,1B,FALSE,FALSE,20
G. Soto,FLU,,1B,FALSE,FALSE,20
C. Jackson,DKG,,2B,FALSE,FALSE,11
C. Kotchman,DMK,,2B,FALSE,FALSE,18
Ad. Gonzalez,DDG,,2B,FALSE,FALSE,18
J. Votto,SKD,,2B,FALSE,FALSE,23
R. Howard,RGS,,2B,FALSE,FALSE,26
A. Pujols,MNB,,2B,FALSE,FALSE,20
P. Fielder,BOH,,2B,FALSE,FALSE,20
J. Loney,FLU,,2B,FALSE,FALSE,20
O. Hudson,DKG,,SS,FALSE,FALSE,24
M. Fontenot,DMK,,SS,FALSE,FALSE,36
E. Burriss,DDG,,SS,FALSE,FALSE,36
K. Matsui,SKD,,SS,FALSE,FALSE,1
K. Johnson,RGS,,SS,FALSE,FALSE,32
C. Utley,MNB,,SS,FALSE,FALSE,17
B. Phillips,BOH,,SS,FALSE,FALSE,17
D. Uggla,FLU,,SS,FALSE,FALSE,17
T. Tulowitzki,DKG,,3B,FALSE,FALSE,38
J. Reyes,DMK,,3B,FALSE,FALSE,12
S. Drew,DDG,,3B,FALSE,FALSE,12
J. Rollins,SKD,,3B,FALSE,FALSE,2
E. Renteria,RGS,,3B,FALSE,FALSE,25
R. Theriot,MNB,,3B,FALSE,FALSE,30
R. Furcal,BOH,,3B,FALSE,FALSE,30
J.J. Hardy,FLU,,3B,FALSE,FALSE,30
E. Encarnacion,DKG,,MI,FALSE,FALSE,1
M. Reynolds,DMK,,MI,FALSE,FALSE,18
R. Zimmerman,DDG,,MI,FALSE,FALSE,18
J. Cantu,SKD,,MI,FALSE,FALSE,1
G. Atkins,RGS,,MI,FALSE,FALSE,12
D. Wright,MNB,,MI,FALSE,FALSE,12
C. Jones,BOH,,MI,FALSE,FALSE,12
A. Ramirez,FLU,,MI,FALSE,FALSE,12
F. Lopez,DKG,,CO,FALSE,FALSE,14
H. Ramirez,DMK,,CO,FALSE,FALSE,8
C. Guzman,DDG,,CO,FALSE,FALSE,8
M. Tejada,SKD,,CO,FALSE,FALSE,10
K. Greene,RGS,,CO,FALSE,FALSE,6
L. Castillo,MNB,,CO,FALSE,FALSE,1
I. Stewart,BOH,,CO,FALSE,FALSE,1
R. Weeks,FLU,,CO,FALSE,FALSE,1
K. Kouzmanoff,DKG,,OF,FALSE,FALSE,31
P. Feliz,DMK,,OF,FALSE,FALSE,13
P. Sandoval,DDG,,OF,FALSE,FALSE,13
C. Delgado,SKD,,OF,FALSE,FALSE,31
D. Lee,RGS,,OF,FALSE,FALSE,37
L. Berkman,MNB,,OF,FALSE,FALSE,31
T. Helton,BOH,,OF,FALSE,FALSE,31
Ad. LaRoche,FLU,,OF,FALSE,FALSE,31
M. Kemp,DKG,,OF,FALSE,FALSE,34
R. Lundwick,DMK,,OF,FALSE,FALSE,23
C. Beltran,DDG,,OF,FALSE,FALSE,23
J. Upton,SKD,,OF,FALSE,FALSE,45
A. Soriano,RGS,,OF,FALSE,FALSE,31
N. McLouth,MNB,,OF,FALSE,FALSE,70
R. Braun,BOH,,OF,FALSE,FALSE,70
C. Lee,FLU,,OF,FALSE,FALSE,70
C.B. Young,DKG,,OF,FALSE,FALSE,40
H. Pence,DMK,,OF,FALSE,FALSE,30
A. Ethier,DDG,,OF,FALSE,FALSE,30
J. Bruce,SKD,,OF,FALSE,FALSE,40
A. Dunn,RGS,,OF,FALSE,FALSE,27
M. Bradley,MNB,,OF,FALSE,FALSE,40
M. Ramirez,BOH,,OF,FALSE,FALSE,40
C. Hart,FLU,,OF,FALSE,FALSE,40
E. Dukes,DKG,,OF,FALSE,FALSE,6
R. Ibanez,DMK,,OF,FALSE,FALSE,26
L. Milledge,DDG,,OF,FALSE,FALSE,26
J. Werth,SKD,,OF,FALSE,FALSE,11
B. Hawpe,RGS,,OF,FALSE,FALSE,1
C. Headley,MNB,,OF,FALSE,FALSE,1
S. Victorino,BOH,,OF,FALSE,FALSE,1
W. Taveras,FLU,,OF,FALSE,FALSE,1
J. Francoeur,DKG,,OF,FALSE,FALSE,48
R. Ankiel,DMK,,OF,FALSE,FALSE,1
J. Willingham,DDG,,OF,FALSE,FALSE,1
J. Hermida,SKD,,OF,FALSE,FALSE,1
M. Bourn,RGS,,OF,FALSE,FALSE,1
M. Cameron,MNB,,OF,FALSE,FALSE,1
K. Fukudome,BOH,,OF,FALSE,FALSE,1
J. Pierre,FLU,,OF,FALSE,FALSE,1
A. Rowand,DKG,,?,FALSE,FALSE,0
C. Ross,DMK,,?,FALSE,FALSE,0
C. Dickerson,DDG,,?,FALSE,FALSE,0
E. Byrnes,SKD,,?,FALSE,FALSE,0
F. Lewis,RGS,,?,FALSE,FALSE,0
R. Winn,MNB,,?,FALSE,FALSE,0
J. Hairston Jr.,BOH,,?,FALSE,FALSE,0
N. Morgan,FLU,,?,FALSE,FALSE,0
C. Maybin,DKG,,?,FALSE,FALSE,0
C. Rasmus,DMK,,?,FALSE,FALSE,0
G. Sanchez,DDG,,?,FALSE,FALSE,0
J. Zimmerman,SKD,,?,FALSE,FALSE,0
A. McCutchen,RGS,,?,FALSE,FALSE,0
A. Escobar,MNB,,?,FALSE,FALSE,0
D. Fowler,BOH,,?,FALSE,FALSE,0
J. Schafer,FLU,,?,FALSE,FALSE,0
D. Haren,DKG,,P,TRUE,FALSE,21
R. Nolasco,DMK,,P,TRUE,FALSE,9
B. Webb,DDG,,P,TRUE,FALSE,9
M. Cain,SKD,,P,TRUE,FALSE,31
J. Peavy,RGS,,P,TRUE,FALSE,1
T. Lincecum,MNB,,P,TRUE,FALSE,1
R. Oswalt,BOH,,P,TRUE,FALSE,1
Y. Gallardo,FLU,,P,TRUE,FALSE,1
C. Kershaw,DKG,,P,TRUE,FALSE,9
C. Billingsley,DMK,,P,TRUE,FALSE,4
E. Volquez,DDG,,P,TRUE,FALSE,4
T. Lilly,SKD,,P,TRUE,FALSE,42
J. Santana,RGS,,P,TRUE,FALSE,17
R. Johnson,MNB,,P,TRUE,FALSE,1
J. McDonald,BOH,,P,TRUE,FALSE,1
M. Parra,FLU,,P,TRUE,FALSE,1
D. Lowe,DKG,,P,TRUE,FALSE,4
A. Wainwright,DMK,,P,TRUE,FALSE,9
C. Young,DDG,,P,TRUE,FALSE,9
K. Kawakami,SKD,,P,TRUE,FALSE,1
C. Hamels,RGS,,P,TRUE,FALSE,11
J. Vazquez,MNB,,P,TRUE,FALSE,2
C. Zambrano,BOH,,P,TRUE,FALSE,2
U. Jimenez,FLU,,P,TRUE,FALSE,2
R. Dempster,DKG,,P,TRUE,FALSE,7
J. Maine,DMK,,P,TRUE,FALSE,11
J. Jurrjens,DDG,,P,TRUE,FALSE,11
P. Maholm,SKD,,P,TRUE,FALSE,6
B. Arroyo,RGS,,P,TRUE,FALSE,7
A. Miller,MNB,,P,TRUE,FALSE,1
H. Kuroda,BOH,,P,TRUE,FALSE,1
T. Wellemyer,FLU,,P,TRUE,FALSE,1
B. Myers,DKG,,P,TRUE,FALSE,1
C. Volstad,DMK,,P,TRUE,FALSE,14
J. Sanchez,DDG,,P,TRUE,FALSE,14
J. Cueto,SKD,,P,TRUE,FALSE,10
R. Wolf,RGS,,P,TRUE,FALSE,1
J. Garland,MNB,,P,TRUE,FALSE,1
O. Perez,BOH,,P,TRUE,FALSE,1
I. Snell,FLU,,P,TRUE,FALSE,1
A. Harang,DKG,,P,TRUE,FALSE,11
J. Blanton,DMK,,P,TRUE,FALSE,6
M. Pelfrey,DDG,,P,TRUE,FALSE,6
J. Johnson,SKD,,P,TRUE,FALSE,15
M. Scherzer,RGS,,P,TRUE,FALSE,1
A. Sanchez,MNB,,P,TRUE,FALSE,1
B. Zito,BOH,,P,TRUE,FALSE,1
J. Lannan,FLU,,P,TRUE,FALSE,1
W. Rodriguez,DKG,,P,TRUE,FALSE,5
M. Gonzalez,DMK,,P,TRUE,FALSE,10
B. Wilson,DDG,,P,TRUE,FALSE,10
C. Carpenter,SKD,,P,TRUE,FALSE,9
R. Harden,RGS,,P,TRUE,FALSE,1
C. Marmol,MNB,,P,TRUE,FALSE,4
A. Cook,BOH,,P,TRUE,FALSE,4
J. De La Rosa,FLU,,P,TRUE,FALSE,4
