player_name,team_code,mlb_team,is_pitcher,position,draft_dollars
J. Soto,DKG,,False,OF,40
R. Acuna,DMK,,False,OF,47
V. Robles,DDG,,False,OF,21
T. Grisham,SKD,,False,OF,21
C. Bellinger,RGS,,False,OF,38
M. Ozuna,DEV,,False,OF,29
M. Betts,LDY,,False,OF,40
B. Harper,SHO,,False,OF,32
C. Blackmon,DKG,,False,OF,40
C. Taylor,DMK,,False,OF,20
K. Schwarber,DDG,,False,OF,25
T. Pham,SKD,,False,OF,29
C. Yelich,RGS,,False,OF,34
S. Marte,DEV,,False,OF,24
W. Myers,LDY,,False,OF,22
M. Yaztrzemski,SHO,,False,OF,13
AJ Pollock,DKG,,False,OF,25
A. Duvall,DMK,,False,OF,1
T. Edman,DDG,,False,OF,23
N. Senzel,SKD,,False,OF,30
T. O'Neill,RGS,,False,OF,1
M. Conforto,DEV,,False,OF,23
I. Happ,LDY,,False,OF,30
J. Pederson,SHO,,False,OF,13
R. Tapia,DKG,,False,OF,17
A. McCutchen,DMK,,False,OF,1
B. Reynolds,DDG,,False,OF,13
L. Cain,SKD,,False,OF,21
D. Varsho,RGS,,False,OF,1
N. Castellanos,DEV,,False,OF,45
D. Smith,LDY,,False,OF,17
J. McNeil,SHO,,False,OF,28
B. Nimmo,DKG,,False,OF,14
J. Profar,DMK,,False,OF,12
J. Bradley Jr.,DDG,,False,OF,3
C. Dickerson,SKD,,False,OF,16
A. Garcia,RGS,,False,OF,1
J. Winker,DEV,,False,OF,11
D. Peralta,LDY,,False,OF,8
A. Dickerson,SHO,,False,OF,1
C. Walker,DKG,,False,1B,12
J. Aguilar,DMK,,False,1B,1
P. Goldschmidt,DDG,,False,1B,49
E. Hosmer,SKD,,False,1B,19
F. Freeman,RGS,,False,1B,33
R. Hoskins,DEV,,False,1B,15
M. Muncy,LDY,,False,1B,51
P. Alonso,SHO,,False,1B,26
G. Hampson,DKG,,False,2B,1
M. Moustakas,DMK,,False,2B,26
O. Albies,DDG,,False,2B,29
R. McMahon,SKD,,False,2B,1
K. Wong,RGS,,False,2B,1
K. Hiura,DEV,,False,2B,22
G. Lux,LDY,,False,2B,12
D. Solano,SHO,,False,2B,1
A. Bohm,DKG,,False,3B,27
E. Suarez,DMK,,False,3B,56
N. Arenado,DDG,,False,3B,22
K. Bryant,SKD,,False,3B,17
A. Riley,RGS,,False,3B,19
J. Segura,DEV,,False,3B,9
J. Turner,LDY,,False,3B,18
M. Machado,SHO,,False,3B,32
F. Tatis Jr.,DKG,,False,SS,41
D. Gregorius,DMK,,False,SS,17
F. Lindor,DDG,,False,SS,70
T. Story,SKD,,False,SS,36
P. DeJong,RGS,,False,SS,9
H. Kim,DEV,,False,SS,19
J. Baez,LDY,,False,SS,45
D. Swanson,SHO,,False,SS,31
E. Diaz,DKG,,False,C,1
JT. Realmuto,DMK,,False,C,21
B. Posey,DDG,,False,C,4
W. Contreras,SKD,,False,C,26
C. Kelly,RGS,,False,C,2
T. d'Arnaud,DEV,,False,C,16
W. Smith,LDY,,False,C,50
J. McCann,SHO,,False,C,2
A. Nola,DKG,,False,C,3
A. Barnes,DMK,,False,C,1
J. Alfaro,DDG,,False,C,5
Y. Molina,SKD,,False,C,5
T. Barnhart,RGS,,False,C,1
J. Stallings,DEV,,False,C,4
O. Narvaez,LDY,,False,C,1
Y. Gomes,SHO,,False,C,11
E. Escobar,DKG,,False,CM,3
JD. Davis,DMK,,False,CM,1
C. Cron,DDG,,False,CM,16
