player_name,team_code,mlb_team,is_pitcher,position,draft_dollars
F. Tatis Jr.,DKD,,false,OF,36
R. Acuna Jr.,DLC,,false,OF,54
J. Walker,DDD,,false,OF,16
C. Yelich,SDS,,false,OF,39
B. Doyle,RSR,,false,OF,5
N. Jones,DD2,,false,OF,23
T. Hernandez,LDL,,false,OF,72
B. Harper,TST,,false,OF,30
M. Harris II,DKD,,false,OF,30
C. Carroll,DLC,,false,OF,34
J. Chourio,DDD,,false,OF,45
J. Soler,SDS,,false,OF,28
B. Nimmo,RSR,,false,OF,19
L. Thomas,DD2,,false,OF,30
B. Reynolds,LDL,,false,OF,50
B. Donovan,TST,,false,OF,2
J.Chisholm Jr.,DKD,,false,OF,22
S. Suzuki,DLC,,false,OF,24
J.H. Lee,DDD,,false,OF,10
S. Marte,SDS,,false,OF,10
J. Suwinski,RSR,,false,OF,15
N. Castellanos,DD2,,false,OF,26
J. Outman,LDL,,false,OF,30
I. Happ,TST,,false,OF,1
S. Frelick,DKD,,false,OF,13
H. Davis,DLC,,false,OF,1
L. Guriel Jr.,DDD,,false,OF,17
C. Blackmon,SDS,,false,OF,6
M. Conforto,RSR,,false,OF,1
W. Benson,DD2,,false,OF,8
TJ Friedl,LDL,,false,OF,21
B. De La Cruz,TST,,false,OF,5
J. Azocar,DKD,,false,OF,1
V. Scott,DLC,,false,OF,23
D. Carlson,DDD,,false,OF,1
J. Sanchez,SDS,,false,OF,4
J. Rojas,RSR,,false,OF,1
W. Merrifield,DD2,,false,OF,2
B. Marsh,LDL,,false,OF,1
L. Nootbaar,TST,,false,OF,11
C. Encarnacion-Strand,DKD,,false,1B,26
C. Bellinger,DLC,,false,1B,46
R. Hoskins,DDD,,false,1B,27
M. Olson,SDS,,false,1B,34
F. Freeman,RSR,,false,1B,33
S. Steer,DD2,,false,1B,36
C. Walker,LDL,,false,1B,50
P. Alonso,TST,,false,1B,28
K. Marte,DKD,,false,2B,24
B. Stott,DLC,,false,2B,13
J. India,DDD,,false,2B,6
H.S. Kim,SDS,,false,2B,30
L. Arraez,RSR,,false,2B,16
