player_name,mlb_id,team_code,is_pitcher,position,mlb_team,AB,H,R,HR,RBI,SB,AVG,W,SV,K,IP,ER,ERA,WHIP
C. Encarnacion-Strand,,DKD,false,1B,CIN,,,,,,,,,,,,,,
C. Bellinger,,DLC,false,1B,NYY,,,,,,,,,,,,,,
R. Hoskins,,DDD,false,1B,MIL,,,,,,,,,,,,,,
M. Olson,,SDS,false,1B,ATL,,,,,,,,,,,,,,
F. Freeman,,RSR,false,1B,LAD,,,,,,,,,,,,,,
S. Steer,,DD2,false,1B,CIN,,,,,,,,,,,,,,
C. Walker,,LDL,false,1B,HOU,,,,,,,,,,,,,,
P. Alonso,,TST,false,1B,BAL,,,,,,,,,,,,,,
K. Marte,,DKD,false,2B,AZ,,,,,,,,,,,,,,
B. Stott,,DLC,false,2B,PHI,,,,,,,,,,,,,,
J. India,,DDD,false,2B,KC,,,,,,,,,,,,,,
H.S. Kim,,SDS,false,2B,ATL,,,,,,,,,,,,,,
L. Arraez,,RSR,false,2B,SD,,,,,,,,,,,,,,
O. Albies,,DD2,false,2B,ATL,,,,,,,,,,,,,,
M. Betts,,LDL,false,2B,LAD,,,,,,,,,,,,,,
N. Hoerner,,TST,false,2B,CHC,,,,,,,,,,,,,,
E. De La Cruz,,DKD,false,SS,PIT,,,,,,,,,,,,,,
E. Tovar,,DLC,false,SS,COL,,,,,,,,,,,,,,
F. Lindor,,DDD,false,SS,NYM,,,,,,,,,,,,,,
T. Turner,,SDS,false,SS,PHI,,,,,,,,,,,,,,
O. Cruz,,RSR,false,SS,PIT,,,,,,,,,,,,,,
D. Swanson,,DD2,false,SS,CHC,,,,,,,,,,,,,,
W. Adames,,LDL,false,SS,SF,,,,,,,,,,,,,,
X. Bogaerts,,TST,false,SS,SD,,,,,,,,,,,,,,
E. Suarez,,DKD,false,3B,SEA,,,,,,,,,,,,,,
J. Candelario,,DLC,false,3B,,,,,,,,,,,,,,,
M. Chapman,,DDD,false,3B,SF,,,,,,,,,,,,,,
K. Hayes,,SDS,false,3B,CIN,,,,,,,,,,,,,,
N. Arenado,,RSR,false,3B,AZ,,,,,,,,,,,,,,
A. Riley,,DD2,false,3B,ATL,,,,,,,,,,,,,,
M. Muncy,,LDL,false,3B,LAD,,,,,,,,,,,,,,
M. Machado,,TST,false,3B,SD,,,,,,,,,,,,,,
M. Harris II,,DKD,false,OF,ATL,,,,,,,,,,,,,,
V. Scott,,DLC,false,OF,STL,,,,,,,,,,,,,,
D. Carlson,,DDD,false,OF,BAL,,,,,,,,,,,,,,
S. Marte,,SDS,false,OF,NYM,,,,,,,,,,,,,,
J. Suwinski,,RSR,false,OF,PIT,,,,,,,,,,,,,,
N. Castellanos,,DD2,false,OF,PHI,,,,,,,,,,,,,,
B. Marsh,,LDL,false,OF,PHI,,,,,,,,,,,,,,
B. Donovan,,TST,false,OF,STL,,,,,,,,,,,,,,
S. Frelick,,DKD,false,OF,MIL,,,,,,,,,,,,,,
R. Acuna Jr.,,DLC,false,OF,,,,,,,,,,,,,,,
J. Chourio,,DDD,false,OF,,,,,,,,,,,,,,,
J. Sanchez,,SDS,false,OF,HOU,,,,,,,,,,,,,,
B. Doyle,,RSR,false,OF,COL,,,,,,,,,,,,,,
W. Merrifield,,DD2,false,OF,ATL,,,,,,,,,,,,,,
J. Outman,,LDL,false,OF,MIN,,,,,,,,,,,,,,
B. De La Cruz,,TST,false,OF,,,,,,,,,,,,,,,
J.Chisholm Jr.,,DKD,false,OF,NYY,,,,,,,,,,,,,,
C. Carroll,,DLC,false,OF,AZ,,,,,,,,,,,,,,
L. Guriel Jr.,,DDD,false,OF,,,,,,,,,,,,,,,
J. Soler,,SDS,false,OF,LAA,,,,,,,,,,,,,,
B. Nimmo,,RSR,false,OF,TEX,,,,,,,,,,,,,,
W. Benson,,DD2,false,OF,CIN,,,,,,,,,,,,,,
T. Hernandez,,LDL,false,OF,LAD,,,,,,,,,,,,,,
I. Happ,,TST,false,OF,CHC,,,,,,,,,,,,,,
F. Tatis Jr.,,DKD,false,OF,SD,,,,,,,,,,,,,,
H. Davis,,DLC,false,OF,PIT,,,,,,,,,,,,,,
J. Walker,,DDD,false,OF,STL,,,,,,,,,,,,,,
C. Blackmon,,SDS,false,OF,COL,,,,,,,,,,,,,,
M. Conforto,,RSR,false,OF,LAD,,,,,,,,,,,,,,
N. Jones,,DD2,false,OF,CLE,,,,,,,,,,,,,,
B. Reynolds,,LDL,false,OF,PIT,,,,,,,,,,,,,,
M. Ozuna,,TST,false,DH,ATL,,,,,,,,,,,,,,
J. Azocar,,DKD,false,OF,,,,,,,,,,,,,,,
S. Suzuki,,DLC,false,OF,CHC,,,,,,,,,,,,,,
J-H. Lee,,DDD,false,OF,SF,,,,,,,,,,,,,,
C. Yelich,,SDS,false,OF,MIL,,,,,,,,,,,,,,
J. Rojas,,RSR,false,OF,CWS,,,,,,,,,,,,,,
L. Thomas,,DD2,false,OF,KC,,,,,,,,,,,,,,
TJ Friedl,,LDL,false,OF,CIN,,,,,,,,,,,,,,
L. Nootbaar,,TST,false,OF,STL,,,,,,,,,,,,,,
P. Bailey,,DKD,false,C,SF,,,,,,,,,,,,,,
N. Fortes,,DLC,false,C,TB,,,,,,,,,,,,,,
F. Alverez,,DDD,false,C,NYM,,,,,,,,,,,,,,
T. Stephenson,,SDS,false,C,CIN,,,,,,,,,,,,,,
T. d’Arnaud,,RSR,false,C,LAA,,,,,,,,,,,,,,
E. Diaz,,DD2,false,C,SD,,,,,,,,,,,,,,
W. Contreras,,LDL,false,C,,,,,,,,,,,,,,,
Y. Gomes,,TST,false,C,CHC,,,,,,,,,,,,,,
G. Sanchez,,DKD,false,C,,,,,,,,,,,,,,,
S. Murphy,,DLC,false,C,ATL,,,,,,,,,,,,,,
JT. Realmuto,,DDD,false,C,PHI,,,,,,,,,,,,,,
G. Moreno,,SDS,false,C,,,,,,,,,,,,,,,
William Contreras,,RSR,false,C,,,,,,,,,,,,,,,
L. Campusano,,DD2,false,C,SD,,,,,,,,,,,,,,
W. Smith,,LDL,false,C,LAD,,,,,,,,,,,,,,
K. Ruiz,,TST,false,C,WSH,,,,,,,,,,,,,,
M. Busch,,DKD,false,CM,CHC,,,,,,,,,,,,,,
R. Tellez,,DLC,false,CM,TEX,,,,,,,,,,,,,,
J. Bell,,DDD,false,CM,MIN,,,,,,,,,,,,,,
E. Montero,,SDS,false,CM,,,,,,,,,,,,,,,
R. McMahon,,RSR,false,CM,NYY,,,,,,,,,,,,,,
J. Cronenworth,,DD2,false,CM,SD,,,,,,,,,,,,,,
A. Bohm,,LDL,false,CM,PHI,,,,,,,,,,,,,,
P. Goldschmidt,,TST,false,CM,NYY,,,,,,,,,,,,,,
G. Lux,,DKD,false,MI,CIN,,,,,,,,,,,,,,
J. Merrill,,DLC,false,MI,SD,,,,,,,,,,,,,,
CJ. Abrams,,DDD,false,MI,WSH,,,,,,,,,,,,,,
B. Rodgers,,SDS,false,MI,HOU,,,,,,,,,,,,,,
T. Edman,,RSR,false,MI,LAD,,,,,,,,,,,,,,
M. McLain,,DD2,false,MI,CIN,,,,,,,,,,,,,,
J. McNeil,,LDL,false,MI,OAK,,,,,,,,,,,,,,
T. Estrada,,TST,false,MI,COL,,,,,,,,,,,,,,
N. Gorman,,DKD,false,DH,STL,,,,,,,,,,,,,,
S. Ohtani,,DLC,false,DH,LAD,,,,,,,,,,,,,,
C. Morel,,DDD,false,DH,MIA,,,,,,,,,,,,,,
K. Bryant,,SDS,false,DH,COL,,,,,,,,,,,,,,
K. Schwarber,,RSR,false,DH,PHI,,,,,,,,,,,,,,
J. Meneses,,DD2,false,DH,,,,,,,,,,,,,,,
J. Burger,,LDL,false,DH,TEX,,,,,,,,,,,,,,
B. Harper,,TST,false,OF,PHI,,,,,,,,,,,,,,
M. Mikolas,,DKD,true,P,STL,,,,,,,,,,,,,,
J. Alvarado,,DLC,true,P,PHI,,,,,,,,,,,,,,
C. Doval,,DDD,true,P,NYY,,,,,,,,,,,,,,
C. Morton,,SDS,true,P,ATL,,,,,,,,,,,,,,
G. Ashcraft,,RSR,true,P,CIN,,,,,,,,,,,,,,
W. Buehler,,DD2,true,P,PHI,,,,,,,,,,,,,,
B. Miller,,LDL,true,P,LAD,,,,,,,,,,,,,,
M. King,,TST,true,P,SD,,,,,,,,,,,,,,
A. Cobb,,DKD,true,P,DET,,,,,,,,,,,,,,
P. Skenes,,DLC,true,P,PIT,,,,,,,,,,,,,,
E. Phillips,,DDD,true,P,LAD,,,,,,,,,,,,,,
T. Scott,,SDS,true,P,LAD,,,,,,,,,,,,,,
A. Abbott,,RSR,true,P,CIN,,,,,,,,,,,,,,
J. Luzardo,,DD2,true,P,PHI,,,,,,,,,,,,,,
J. Taillon,,LDL,true,P,CHC,,,,,,,,,,,,,,
E. Rodriguez,,TST,true,P,AZ,,,,,,,,,,,,,,
J. Paxson,,DKD,true,P,BOS,,,,,,,,,,,,,,
J. Steele,,DLC,true,P,CHC,,,,,,,,,,,,,,
J. Quintana,,DDD,true,P,MIL,,,,,,,,,,,,,,
D. Cease,,SDS,true,P,TOR,,,,,,,,,,,,,,
N. Martinez,,RSR,true,P,CIN,,,,,,,,,,,,,,
M. Kelly,,DD2,true,P,AZ,,,,,,,,,,,,,,
C. Kershaw,,LDL,true,P,LAD,,,,,,,,,,,,,,
A. Alzolay,,TST,true,P,,,,,,,,,,,,,,,
E. Diaz,,DKD,true,P,SD,,,,,,,,,,,,,,
J. Payamps,,DLC,true,P,ATL,,,,,,,,,,,,,,
L. Webb,,DDD,true,P,SF,,,,,,,,,,,,,,
S. Strider,,SDS,true,P,ATL,,,,,,,,,,,,,,
B. Pfaadt,,RSR,true,P,AZ,,,,,,,,,,,,,,
K. Harrison,,DD2,true,P,BOS,,,,,,,,,,,,,,
M. Gore,,LDL,true,P,WSH,,,,,,,,,,,,,,
S. Gray,,TST,true,P,BOS,,,,,,,,,,,,,,
R. Iglesias,,DKD,true,P,ATL,,,,,,,,,,,,,,
Z. Wheeler,,DLC,true,P,PHI,,,,,,,,,,,,,,
L. Severino,,DDD,true,P,OAK,,,,,,,,,,,,,,
R. Helsey,,SDS,true,P,BAL,,,,,,,,,,,,,,
Aj Puk,,RSR,true,P,AZ,,,,,,,,,,,,,,
K. Finnegan,,DD2,true,P,DET,,,,,,,,,,,,,,
F. Montas,,LDL,true,P,NYM,,,,,,,,,,,,,,
B. Garrett,,TST,true,P,MIA,,,,,,,,,,,,,,
R. Suarez,,DKD,true,P,PHI,,,,,,,,,,,,,,
L. Lynn,,DLC,true,P,STL,,,,,,,,,,,,,,
E. Perez,,DDD,true,P,MIA,,,,,,,,,,,,,,
J. Hicks,,SDS,true,P,BOS,,,,,,,,,,,,,,
D. Bednar,,RSR,true,P,NYY,,,,,,,,,,,,,,
S. Imanaga,,DD2,true,P,CHC,,,,,,,,,,,,,,
S. Manaea,,LDL,true,P,NYM,,,,,,,,,,,,,,
M. Fried,,TST,true,P,NYY,,,,,,,,,,,,,,
K. Senga,,DKD,true,P,NYM,,,,,,,,,,,,,,
J. Lawrence,,DLC,true,P,PIT,,,,,,,,,,,,,,
J. Wicks,,DDD,true,P,CHC,,,,,,,,,,,,,,
S. Ohtani,,SDS,true,P,LAD,,,,,,,,,,,,,,
F. Peralta,,RSR,true,P,MIL,,,,,,,,,,,,,,
A. Diaz,,DD2,true,P,TEX,,,,,,,,,,,,,,
E. Sheehan,,LDL,true,P,LAD,,,,,,,,,,,,,,
J. Musgrove,,TST,true,P,SD,,,,,,,,,,,,,,
M. Keller,,DKD,true,P,PIT,,,,,,,,,,,,,,
R. Lopez,,DLC,true,P,ATL,,,,,,,,,,,,,,
N. Lodolo,,DDD,true,P,CIN,,,,,,,,,,,,,,
C. Sale,,SDS,true,P,ATL,,,,,,,,,,,,,,
H. Greene,,RSR,true,P,CIN,,,,,,,,,,,,,,
C. Sanchez,,DD2,true,P,PHI,,,,,,,,,,,,,,
B. Graterol,,LDL,true,P,LAD,,,,,,,,,,,,,,
K. Gibson,,TST,true,P,,,,,,,,,,,,,,,
T. Glasnow,,DKD,true,P,LAD,,,,,,,,,,,,,,
A. Nola,,DLC,true,P,PHI,,,,,,,,,,,,,,
Y. Darvish,,DDD,true,P,SD,,,,,,,,,,,,,,
P. Sewald,,SDS,true,P,DET,,,,,,,,,,,,,,
Y. Yamamoto,,RSR,true,P,LAD,,,,,,,,,,,,,,
Z. Gallen,,DD2,true,P,AZ,,,,,,,,,,,,,,
J. Gray,,LDL,true,P,TEX,,,,,,,,,,,,,,
D. Williams,,TST,true,P,NYM,,,,,,,,,,,,,,
