player_name,mlb_id,team_code,is_pitcher,AB,mlb_team,H,R,HR,RBI,SB,AVG,W,SV,K,IP,ER,ERA,WHIP
M. Busch,,DKD,false,,CHC,,,,,,,,,,,,,
C. Bellinger,,DLC,false,,NYY,,,,,,,,,,,,,
R. Hoskins,,DDD,false,,MIL,,,,,,,,,,,,,
M. Olson,,SDS,false,,ATL,,,,,,,,,,,,,
F. Freeman,,RSR,false,,LAD,,,,,,,,,,,,,
S. Steer,,DD2,false,,CIN,,,,,,,,,,,,,
C. Walker,,LDL,false,,HOU,,,,,,,,,,,,,
P. Alonso,,TST,false,,BAL,,,,,,,,,,,,,
K. Marte,,DKD,false,,AZ,,,,,,,,,,,,,
B. Stott,,DLC,false,,PHI,,,,,,,,,,,,,
N. Gonzales,,DDD,false,,,,,,,,,,,,,,,
H.S. Kim,,SDS,false,,ATL,,,,,,,,,,,,,
L. Arraez,,RSR,false,,SD,,,,,,,,,,,,,
O. Albies,,DD2,false,,ATL,,,,,,,,,,,,,
M. Betts,,LDL,false,,LAD,,,,,,,,,,,,,
N. Hoerner,,TST,false,,CHC,,,,,,,,,,,,,
E. De La Cruz,,DKD,false,,PIT,,,,,,,,,,,,,
E. Tovar,,DLC,false,,COL,,,,,,,,,,,,,
F. Lindor,,DDD,false,,NYM,,,,,,,,,,,,,
T. Turner,,SDS,false,,PHI,,,,,,,,,,,,,
O. Cruz,,RSR,false,,PIT,,,,,,,,,,,,,
D. Swanson,,DD2,false,,CHC,,,,,,,,,,,,,
W. Adames,,LDL,false,,SF,,,,,,,,,,,,,
B. Alexander,,TST,false,,AZ,,,,,,,,,,,,,
E. Suarez,,DKD,false,,SEA,,,,,,,,,,,,,
J,Candelario,,DLC,false,,,,,,,,,,,,,,,
M. Chapman,,DDD,false,,SF,,,,,,,,,,,,,
K. Hayes,,SDS,false,,CIN,,,,,,,,,,,,,
N. Arenado,,RSR,false,,AZ,,,,,,,,,,,,,
A. Riley,,DD2,false,,ATL,,,,,,,,,,,,,
M. Muncy,,LDL,false,,LAD,,,,,,,,,,,,,
M. Machado,,TST,false,,SD,,,,,,,,,,,,,
F. Tatis Jr.,,DKD,false,,SD,,,,,,,,,,,,,
C. Carroll,,DLC,false,,AZ,,,,,,,,,,,,,
N. Castellanos,,DDD,false,,,,,,,,,,,,,,,
A. McCutchen,,SDS,false,,PIT,,,,,,,,,,,,,
B. Perkins,,RSR,false,,,,,,,,,,,,,,,
H. Ramos,,DD2,false,,SF,,,,,,,,,,,,,
B. Reynolds,,LDL,false,,PIT,,,,,,,,,,,,,
J. Young,,TST,false,,WSH,,,,,,,,,,,,,
S. Frelick,,DKD,false,,MIL,,,,,,,,,,,,,
A. Pages,,DLC,false,,LAD,,,,,,,,,,,,,
J. Walker,,DDD,false,,STL,,,,,,,,,,,,,
J. Soler,,SDS,false,,LAA,,,,,,,,,,,,,
W. Benson,,RSR,false,,CIN,,,,,,,,,,,,,
J. Fraley,,DD2,false,,TB,,,,,,,,,,,,,
H. Bader,,LDL,false,,PHI,,,,,,,,,,,,,
B. Donovan,,TST,false,,STL,,,,,,,,,,,,,
J. Chisholm Jr.,,DKD,false,,,,,,,,,,,,,,,
S. Suzuki,,DLC,false,,CHC,,,,,,,,,,,,,
J. McCarthy,,DDD,false,,COL,,,,,,,,,,,,,
M. Tauchman,,SDS,false,,,,,,,,,,,,,,,
B. Doyle,,RSR,false,,COL,,,,,,,,,,,,,
L. Thomas,,DD2,false,,KC,,,,,,,,,,,,,
B. Marsh,,LDL,false,,PHI,,,,,,,,,,,,,
I. Happ,,TST,false,,CHC,,,,,,,,,,,,,
M. Harris II,,DKD,false,,ATL,,,,,,,,,,,,,
J. Profar,,DLC,false,,ATL,,,,,,,,,,,,,
TJ. Friedl,,DDD,false,,CIN,,,,,,,,,,,,,
C. Blackmon,,SDS,false,,COL,,,,,,,,,,,,,
B. Nimmo,,RSR,false,,TEX,,,,,,,,,,,,,
A. Burleson,,DD2,false,,STL,,,,,,,,,,,,,
T. Hernandez,,LDL,false,,LAD,,,,,,,,,,,,,
B. De La Cruz,,TST,false,,,,,,,,,,,,,,,
J. Winker,,DKD,false,,NYM,,,,,,,,,,,,,
G. Gurriel,,DLC,false,,,,,,,,,,,,,,,
J. Chourio,,DDD,false,,,,,,,,,,,,,,,
C. Yelich,,SDS,false,,MIL,,,,,,,,,,,,,
M. Conforto,,RSR,false,,LAD,,,,,,,,,,,,,
N. Gordon,,DD2,false,,,,,,,,,,,,,,,
E. Rosario,,LDL,false,,,,,,,,,,,,,,,
S. Marte,,TST,false,,,,,,,,,,,,,,,
P. Bailey,,DKD,false,,SF,,,,,,,,,,,,,
F. Alvarez,,DLC,false,,NYM,,,,,,,,,,,,,
J. Stallings,,DDD,false,,,,,,,,,,,,,,,
G. Moreno,,SDS,false,,,,,,,,,,,,,,,
Wilm. Contreras,,RSR,false,,MIL,,,,,,,,,,,,,
L. Campusano,,DD2,false,,SD,,,,,,,,,,,,,
Wiln. Contreras,,LDL,false,,MIL,,,,,,,,,,,,,
L. Torrens,,TST,false,,,,,,,,,,,,,,,
K. Ruiz,,DKD,false,,WSH,,,,,,,,,,,,,
S. Murphy,,DLC,false,,ATL,,,,,,,,,,,,,
JT. Realmuto,,DDD,false,,PHI,,,,,,,,,,,,,
T. Stephenson,,SDS,false,,CIN,,,,,,,,,,,,,
T. d’Arnaud,,RSR,false,,LAA,,,,,,,,,,,,,
E. Diaz,,DD2,false,,SD,,,,,,,,,,,,,
W. Smith,,LDL,false,,LAD,,,,,,,,,,,,,
I. Herrera,,TST,false,,STL,,,,,,,,,,,,,
E. Sosa,,DKD,false,,,,,,,,,,,,,,,
J. Ortiz,,DLC,false,,,,,,,,,,,,,,,
J. Bell,,DDD,false,,MIN,,,,,,,,,,,,,
P. Goldschmidt,,SDS,false,,,,,,,,,,,,,,,
R. McMahon,,RSR,false,,NYY,,,,,,,,,,,,,
M. Vientos,,DD2,false,,NYM,,,,,,,,,,,,,
A. Bohm,,LDL,false,,PHI,,,,,,,,,,,,,
B. Harper,,TST,false,,PHI,,,,,,,,,,,,,
N. Gorman,,DKD,false,,STL,,,,,,,,,,,,,
J. Merrill,,DLC,false,,SD,,,,,,,,,,,,,
CJ. Abrams,,DDD,false,,WSH,,,,,,,,,,,,,
G. Lux,,SDS,false,,CIN,,,,,,,,,,,,,
M. Winn,,RSR,false,,STL,,,,,,,,,,,,,
J. Cronenworth,,DD2,false,,SD,,,,,,,,,,,,,
B. Turang,,LDL,false,,MIL,,,,,,,,,,,,,
T. Estrada,,TST,false,,COL,,,,,,,,,,,,,
J.D. Martinez,,DKD,false,,,,,,,,,,,,,,,
S. Ohtani,,DLC,false,,LAD,,,,,,,,,,,,,
C. Morel,,DDD,false,,MIA,,,,,,,,,,,,,
J. India,,SDS,false,,,,,,,,,,,,,,,
K. Schwarber,,RSR,false,,PHI,,,,,,,,,,,,,
J. Pederson,,DD2,false,,,,,,,,,,,,,,,
