player_name,mlb_id,team_code,is_pitcher,AB,mlb_team,H,R,HR,RBI,SB,AVG,W,SV,K,IP,ER,ERA,WHIP
M. Busch,,DKD,false,,CHC,,,,,,,,,,,,,
C. Bellinger,,DLC,false,,NYY,,,,,,,,,,,,,
R. Hoskins,,DDD,false,,MIL,,,,,,,,,,,,,
M. Olson,,SDS,false,,ATL,,,,,,,,,,,,,
F. Freeman,,RSR,false,,LAD,,,,,,,,,,,,,
S. Steer,,DD2,false,,CIN,,,,,,,,,,,,,
C. Walker,,LDL,false,,HOU,,,,,,,,,,,,,
P. Alonso,,TST,false,,BAL,,,,,,,,,,,,,
K. Marte,,DKD,false,,AZ,,,,,,,,,,,,,
B. Stott,,DLC,false,,PHI,,,,,,,,,,,,,
L. Garcia,,DDD,false,,,,,,,,,,,,,,,
G. Lux,,SDS,false,,CIN,,,,,,,,,,,,,
L. Arraez,,RSR,false,,SD,,,,,,,,,,,,,
J. Cronenworth,,DD2,false,,SD,,,,,,,,,,,,,
M. Betts,,LDL,false,,LAD,,,,,,,,,,,,,
X. Bogaerts,,TST,false,,SD,,,,,,,,,,,,,
E. De La Cruz,,DKD,false,,PIT,,,,,,,,,,,,,
E. Tovar,,DLC,false,,COL,,,,,,,,,,,,,
F. Lindor,,DDD,false,,NYM,,,,,,,,,,,,,
T. Turner,,SDS,false,,PHI,,,,,,,,,,,,,
O. Cruz,,RSR,false,,PIT,,,,,,,,,,,,,
D. Swanson,,DD2,false,,CHC,,,,,,,,,,,,,
W. Adames,,LDL,false,,SF,,,,,,,,,,,,,
N. Hoerner,,TST,false,,CHC,,,,,,,,,,,,,
N. Marte,,DKD,false,,CIN,,,,,,,,,,,,,
J,Candelario,,DLC,false,,,,,,,,,,,,,,,
M. Chapman,,DDD,false,,SF,,,,,,,,,,,,,
K. Hayes,,SDS,false,,CIN,,,,,,,,,,,,,
I. Kiner-Falefa,,RSR,false,,TOR,,,,,,,,,,,,,
A. Riley,,DD2,false,,ATL,,,,,,,,,,,,,
M. Muncy,,LDL,false,,LAD,,,,,,,,,,,,,
M. Machado,,TST,false,,SD,,,,,,,,,,,,,
F. Tatis Jr.,,DKD,false,,SD,,,,,,,,,,,,,
C. Carroll,,DLC,false,,AZ,,,,,,,,,,,,,
N. Castellanos,,DDD,false,,,,,,,,,,,,,,,
J. Soler,,SDS,false,,LAA,,,,,,,,,,,,,
L. Nootbaar,,RSR,false,,STL,,,,,,,,,,,,,
H. Ramos,,DD2,false,,SF,,,,,,,,,,,,,
B. Reynolds,,LDL,false,,PIT,,,,,,,,,,,,,
S. Marte,,TST,false,,,,,,,,,,,,,,,
J. Winker,,DKD,false,,NYM,,,,,,,,,,,,,
A. Call,,DLC,false,,,,,,,,,,,,,,,
J. Walker,,DDD,false,,STL,,,,,,,,,,,,,
A. McCutchen,,SDS,false,,PIT,,,,,,,,,,,,,
K. Schwarber,,RSR,false,,PHI,,,,,,,,,,,,,
T. Pham,,DD2,false,,PIT,,,,,,,,,,,,,
H. Bader,,LDL,false,,PHI,,,,,,,,,,,,,
J. Young,,TST,false,,WSH,,,,,,,,,,,,,
M. Harris II,,DKD,false,,ATL,,,,,,,,,,,,,
S. Suzuki,,DLC,false,,CHC,,,,,,,,,,,,,
J. Kelenic,,DDD,false,,,,,,,,,,,,,,,
S. Espinal,,SDS,false,,,,,,,,,,,,,,,
B. Doyle,,RSR,false,,COL,,,,,,,,,,,,,
M. Siani,,DD2,false,,,,,,,,,,,,,,,
B. Marsh,,LDL,false,,PHI,,,,,,,,,,,,,
B. Donovan,,TST,false,,STL,,,,,,,,,,,,,
T. Fitzgerald,,DKD,false,,SF,,,,,,,,,,,,,
J. Profar,,DLC,false,,ATL,,,,,,,,,,,,,
J. Chourio,,DDD,false,,,,,,,,,,,,,,,
C. Blackmon,,SDS,false,,COL,,,,,,,,,,,,,
B. Nimmo,,RSR,false,,TEX,,,,,,,,,,,,,
N. Jones,,DD2,false,,CLE,,,,,,,,,,,,,
T. Hernandez,,LDL,false,,LAD,,,,,,,,,,,,,
B. De La Cruz,,TST,false,,,,,,,,,,,,,,,
A,Rosario,,DKD,false,,,,,,,,,,,,,,,
G. Gurriel,,DLC,false,,,,,,,,,,,,,,,
J. Wood,,DDD,false,,WSH,,,,,,,,,,,,,
J. McNeil,,SDS,false,,OAK,,,,,,,,,,,,,
M. Conforto,,RSR,false,,LAD,,,,,,,,,,,,,
A. Burleson,,DD2,false,,STL,,,,,,,,,,,,,
P. Crow-Armstrong,,LDL,false,,CHC,,,,,,,,,,,,,
I. Happ,,TST,false,,CHC,,,,,,,,,,,,,
P. Bailey,,DKD,false,,SF,,,,,,,,,,,,,
F. Alvarez,,DLC,false,,NYM,,,,,,,,,,,,,
L. Campusano,,DDD,false,,,,,,,,,,,,,,,
G. Moreno,,SDS,false,,,,,,,,,,,,,,,
Wilm. Contreras,,RSR,false,,MIL,,,,,,,,,,,,,
E. Diaz,,DD2,false,,SD,,,,,,,,,,,,,
Wiln. Contreras,,LDL,false,,MIL,,,,,,,,,,,,,
J. Bart,,TST,false,,PIT,,,,,,,,,,,,,
K. Ruiz,,DKD,false,,WSH,,,,,,,,,,,,,
S. Murphy,,DLC,false,,ATL,,,,,,,,,,,,,
JT. Realmuto,,DDD,false,,PHI,,,,,,,,,,,,,
T. Stephenson,,SDS,false,,CIN,,,,,,,,,,,,,
T. d’Arnaud,,RSR,false,,LAA,,,,,,,,,,,,,
K. Higashioka,,DD2,false,,,,,,,,,,,,,,,
W. Smith,,LDL,false,,LAD,,,,,,,,,,,,,
L. Torrens,,TST,false,,,,,,,,,,,,,,,
J. Bell,,DKD,false,,MIN,,,,,,,,,,,,,
M. Toglia,,DLC,false,,,,,,,,,,,,,,,
I. Paredes,,DDD,false,,,,,,,,,,,,,,,
P. Goldschmidt,,SDS,false,,,,,,,,,,,,,,,
R. McMahon,,RSR,false,,NYY,,,,,,,,,,,,,
M. Vientos,,DD2,false,,NYM,,,,,,,,,,,,,
A. Bohm,,LDL,false,,PHI,,,,,,,,,,,,,
B. Harper,,TST,false,,PHI,,,,,,,,,,,,,
N. Gorman,,DKD,false,,STL,,,,,,,,,,,,,
J. Merrill,,DLC,false,,SD,,,,,,,,,,,,,
CJ. Abrams,,DDD,false,,WSH,,,,,,,,,,,,,
X. Edwards,,SDS,false,,MIA,,,,,,,,,,,,,
M. Winn,,RSR,false,,STL,,,,,,,,,,,,,
J. Iglesias,,DD2,false,,,,,,,,,,,,,,,
B. Turang,,LDL,false,,MIL,,,,,,,,,,,,,
T. Estrada,,TST,false,,COL,,,,,,,,,,,,,
J.D. Martinez,,DKD,false,,,,,,,,,,,,,,,
S. Ohtani,,DLC,false,,LAD,,,,,,,,,,,,,
E. Suarez,,DDD,false,,SEA,,,,,,,,,,,,,
J. India,,SDS,false,,,,,,,,,,,,,,,
N. Arenado,,RSR,false,,AZ,,,,,,,,,,,,,
J. Pederson,,DD2,false,,,,,,,,,,,,,,,
