player_name,mlb_id,team_code,is_pitcher,position,draft_dollars,AB,H,R,HR,RBI,SB,AVG,W,SV,K,IP,ER,ERA,WHIP
J. Naylor,,DKD,false,1B,38,,,,,,,,,,,,,,
M. Busch,,DLC,false,1B,9,,,,,,,,,,,,,,
C. Encarnacion-Strand,,DDD,false,1B,10,,,,,,,,,,,,,,
M. Olson,,SDS,false,1B,24,,,,,,,,,,,,,,
F. Freeman,,RSR,false,1B,29,,,,,,,,,,,,,,
M. Toglia,,DD2,false,1B,12,,,,,,,,,,,,,,
J. Candelario,,LDL,false,1B,1,,,,,,,,,,,,,,
P. Alonso,,TST,false,1B,24,,,,,,,,,,,,,,
J. Cronenworth,,DKD,false,2B,3,,,,,,,,,,,,,,
O. Lopez,,DLC,false,2B,8,,,,,,,,,,,,,,
N. Hoerner,,DDD,false,2B,1,,,,,,,,,,,,,,
M. McLain,,SDS,false,2B,49,,,,,,,,,,,,,,
L. Garcia,,RSR,false,2B,30,,,,,,,,,,,,,,
O. Albies,,DD2,false,2B,28,,,,,,,,,,,,,,
B. Stott,,LDL,false,2B,20,,,,,,,,,,,,,,
T. Estrada,,TST,false,2B,5,,,,,,,,,,,,,,
E. De La Cruz,,DKD,false,SS,36,,,,,,,,,,,,,,
D. Swanson,,DLC,false,SS,2,,,,,,,,,,,,,,
F. Lindor,,DDD,false,SS,28,,,,,,,,,,,,,,
T. Turner,,SDS,false,SS,26,,,,,,,,,,,,,,
O. Cruz,,RSR,false,SS,24,,,,,,,,,,,,,,
T. Fitzgerald,,DD2,false,SS,1,,,,,,,,,,,,,,
M. Betts,,LDL,false,SS,31,,,,,,,,,,,,,,
X. Bogaerts,,TST,false,SS,8,,,,,,,,,,,,,,
N. Arenado,,DKD,false,3B,2,,,,,,,,,,,,,,
R. McMahon,,DLC,false,3B,8,,,,,,,,,,,,,,
E. Suarez,,DDD,false,3B,13,,,,,,,,,,,,,,
A. Bohm,,SDS,false,3B,14,,,,,,,,,,,,,,
M. Chapman,,RSR,false,3B,32,,,,,,,,,,,,,,
A. Riley,,DD2,false,3B,25,,,,,,,,,,,,,,
M. Muncy,,LDL,false,3B,8,,,,,,,,,,,,,,
M. Machado,,TST,false,3B,24,,,,,,,,,,,,,,
F. Tatis Jr.,,DKD,false,OF,33,,,,,,,,,,,,,,
C. Carroll,,DLC,false,OF,33,,,,,,,,,,,,,,
J. Chourio,,DDD,false,OF,31,,,,,,,,,,,,,,
M. Conforto,,SDS,false,OF,30,,,,,,,,,,,,,,
