player_name,team_code,mlb_team,position,is_pitcher,is_keeper,draft_dollars,R,HR,RBI,SB,AVG,GS,W,SV,K,ERA,WHIP,SO
"Bryan Reynolds",DMK,PIT,OF,FALSE,FALSE,0,14,2,5,0,.247,0,0,0,0,0.00,0.00,0
"Iván Herrera",DMK,STL,C,FALSE,FALSE,0,19,8,17,2,.281,0,0,0,0,0.00,0.00,0
"Isaac Collins",DMK,MIL,OF,FALSE,FALSE,0,5,1,5,0,.176,0,0,0,0,0.00,0.00,0
"Kyle Tucker",DLC,CHC,OF,FALSE,FALSE,0,4,1,3,0,.261,0,0,0,0,0.00,0.00,0
"Corbin Carroll",DLC,AZ,OF,FALSE,FALSE,0,16,3,16,11,.277,0,0,0,0,0.00,0.00,0
"C. Rea",DLC,UNK,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Jose Quintana",DLC,MIL,P,TRUE,FALSE,0,0,0,0,0,.000,0,1,0,12,5.82,1.29,0
"Clayton Kershaw",DLC,LAD,P,TRUE,FALSE,0,0,0,0,0,.000,0,2,0,26,4.44,1.44,0
"Yoshinobu Yamamoto",RGS,LAD,P,TRUE,FALSE,0,0,0,0,0,.000,0,1,0,44,0.79,0.65,0
"Andrew Abbott",RGS,CIN,P,TRUE,FALSE,0,0,0,0,0,.000,0,2,0,24,3.95,1.32,0
"Ozzie Albies",DVD,ATL,2B,FALSE,FALSE,0,13,3,14,2,.272,0,0,0,0,0.00,0.00,0
"Geraldo Perdomo",DVD,AZ,SS,FALSE,FALSE,0,14,5,13,3,.313,0,0,0,0,0.00,0.00,0
"Noelvi Marte",DVD,CIN,3B,FALSE,FALSE,0,11,2,9,3,.184,0,0,0,0,0.00,0.00,0
"Ryan O'Hearn",DVD,BAL,1B,FALSE,FALSE,0,9,1,9,0,.291,0,0,0,0,0.00,0.00,0
"Sonny Gray",DVD,STL,P,TRUE,FALSE,0,0,0,0,0,.000,0,2,0,33,4.76,1.52,0
"Joey Wentz",DVD,ATL,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,0,25,8.38,2.12,0
"Jacob Misiorowski",DVD,MIL,P,TRUE,FALSE,0,0,0,0,0,.000,0,1,0,22,4.43,1.52,0
"David Peterson",DVD,NYM,P,TRUE,FALSE,0,0,0,0,0,.000,0,1,0,14,9.72,1.92,0
"Tyler Hernandez",LDL,UNK,OF,FALSE,FALSE,0,0,0,0,0,.000,0,0,0,0,0.00,0.00,0
"Juan Soto",LDL,NYM,OF,FALSE,FALSE,0,18,8,21,13,.307,0,0,0,0,0.00,0.00,0
"Jung Hoo Lee",LDL,SF,OF,FALSE,FALSE,0,10,1,7,0,.315,0,0,0,0,0.00,0.00,0
"Fernando Tatis Jr.",DMK,SD,OF,FALSE,FALSE,0,18,7,14,5,.279,0,0,0,0,0.00,0.00,0
"Jake Cronenworth",DMK,SD,2B,FALSE,FALSE,0,11,1,10,1,.227,0,0,0,0,0.00,0.00,0
"Austin Hays",DMK,CIN,OF,FALSE,FALSE,0,11,4,10,1,.286,0,0,0,0,0.00,0.00,0
"Tyler Glasnow",DMK,LAD,P,TRUE,FALSE,0,0,0,0,0,.000,0,3,0,25,2.49,1.06,0
"Robert Suarez",DMK,SD,P,TRUE,FALSE,0,0,0,0,0,.000,0,0,5,16,2.70,0.60,0
"Matthew Boyd",DMK,CHC,P,TRUE,FALSE,0,0,0,0,0,.000,0,2,0,17,5.47,1.25,0
"Bubba Chandler",DMK,PIT,P,TRUE,FALSE,0,0,0,0,0,.000,0,3,0,25,5.40,1.07,0
