playerName,fullName,mlbId,teamCode,position,isPitcher
"G. Perdomo","Geraldo Perdomo",672695,DD2,"",false
"J. Meneses","Joey Meneses",608841,DD2,"",false
"K. Finnegan","Kyle Finnegan",640448,DD2,"",true
"M. Ozuna","Marcell Ozuna",542303,DD2,"",false
"N. Jones","Nolan Jones",666134,DD2,"",false
"N. jones","Nolan Jones",666134,DD2,"",false
"O. Albies","Ozzie Albies",645277,DD2,"",false
"Z. Gallen","Zac Gallen",668678,DD2,"",true
"B. Doyle","Brenton Doyle",686668,DDD,"",false
"F. Lindor","Francisco Lindor",596019,DDD,"",false
"J. McCarthy","Jake McCarthy",664983,DDD,"",false
"J. Walker","Jordan Walker",691023,DDD,"",false
"R. Hoskins","Rhys Hoskins",656555,DDD,"",false
"E. De La Cruz","Oneil Cruz",665833,DKD,"",false
"E. Sheehan","Emmet Sheehan",686218,DKD,"",true
"F. Tatis Jr.","Fernando Tatis Jr.",665487,DKD,"",false
"K. Ruiz","Keibert Ruiz",660688,DKD,"",false
"M. Harris II","Michael Harris II",671739,DKD,"",false
"C. Carroll","Corbin Carroll",682998,DLC,"",false
"D. Swanson","Dansby Swanson",621020,DLC,"",false
"R. Acuna Jr.","Ronald Acuña Jr.",660670,DLC,"",false
"S. Ohtani","Shohei Ohtani",660271,DLC,"",false
"Z. Wheeler","Zack Wheeler",554430,DLC,"",true
"B. Turang","Brice Turang",668930,LDL,"",false
"M. Betts","Mookie Betts",605141,LDL,"",false
"M. Muncy","Max Muncy",571970,LDL,"",false
"W. Smith","Will Smith",669257,LDL,"",false
"A. Abbott","Andrew Abbott",671096,RSR,"",true
"A. McCutchen","Andrew McCutchen",457705,RSR,"",false
"D. Bednar","David Bednar",670280,RSR,"",true
"F. Freeman","Freddie Freeman",518692,RSR,"",false
"F. Peralta","Freddy Peralta",642547,RSR,"",true
"O. Cruz","Oneil Cruz",665833,RSR,"",false
"J. McNeil","Jeff McNeil",643446,SDS,"",false
"M. Olson","Matt Olson",621566,SDS,"",false
"S. Ohtani","Shohei Ohtani",660271,SDS,"",true
"T. Stephenson","Tyler Stephenson",663886,SDS,"",false
"T. Turner","Trea Turner",607208,SDS,"",false
"TJ. Friedl","TJ Friedl",670770,SDS,"",false
"B. Harper","Bryce Harper",547180,TST,"",false
"I. Happ","Ian Happ",664023,TST,"",false
"M. Machado","Manny Machado",592518,TST,"",false
"P. Alonso","Pete Alonso",624413,TST,"",false
"R. Iglesias","Raisel Iglesias",628452,TST,"",true
