mlb_id,mlb_full_name,is_pitcher,career_group,career_G,career_AB,career_R,career_H,career_HR,career_RBI,career_SB,career_AVG,career_OBP,career_SLG,career_OPS,career_GS,career_W,career_L,career_SV,career_K,career_IP,career_ERA,career_WHIP,career_CG,career_SHO
647304,Josh Naylor,0,H,745,2590,334,697,104,435,55,.269,.329,.447,.776,,,,,,,,,,
683737,Michael Busch,0,H,334,1092,160,272,57,162,7,.249,.333,.470,.803,,,,,,,,,,
687952,Christian Encarnacion-Strand,0,H,128,468,55,109,21,72,2,.233,.275,.404,.679,,,,,,,,,,
621566,Matt Olson,0,H,1223,4496,712,1155,288,808,9,.257,.351,.508,.859,,,,,,,,,,
518692,Freddie Freeman,0,H,2179,8114,1379,2431,367,1322,104,.300,.386,.511,.897,,,,,,,,,,
630105,Jake Cronenworth,0,H,781,2780,395,687,80,369,24,.247,.335,.406,.741,,,,,,,,,,
672640,Otto Lopez,0,H,269,957,115,249,21,119,35,.260,.312,.374,.686,,,,,,,,,,
663538,Nico Hoerner,0,H,704,2616,378,738,36,278,131,.282,.340,.384,.724,,,,,,,,,,
680574,Matt McLain,0,H,236,875,138,218,31,100,32,.249,.323,.411,.734,,,,,,,,,,
671277,Luis García Jr.,0,H,604,2165,262,576,58,269,49,.266,.299,.410,.709,,,,,,,,,,
645277,Ozzie Albies,0,H,1028,4088,623,1086,157,582,98,.266,.320,.455,.775,,,,,,,,,,
681082,Bryson Stott,0,H,573,2017,267,516,49,234,99,.256,.318,.383,.701,,,,,,,,,,
682829,Elly De La Cruz,0,H,420,1635,274,417,60,206,139,.255,.329,.445,.774,,,,,,,,,,
621020,Dansby Swanson,0,H,1282,4732,680,1186,164,634,106,.251,.318,.414,.732,,,,,,,,,,
596019,Francisco Lindor,0,H,1535,6086,1011,1664,279,856,216,.273,.342,.475,.817,,,,,,,,,,
607208,Trea Turner,0,H,1266,5157,870,1531,186,641,315,.297,.349,.478,.827,,,,,,,,,,
665833,Oneil Cruz,0,H,379,1384,188,322,60,198,73,.233,.309,.425,.734,,,,,,,,,,
666149,Tyler Fitzgerald,0,H,178,563,75,142,21,53,28,.252,.309,.430,.739,,,,,,,,,,
605141,Mookie Betts,0,H,1531,6083,1166,1767,291,913,196,.290,.369,.512,.881,,,,,,,,,,
593428,Xander Bogaerts,0,H,1666,6349,948,1822,197,838,126,.287,.350,.446,.796,,,,,,,,,,
571448,Nolan Arenado,0,H,1787,6807,992,1921,353,1184,31,.282,.338,.507,.845,,,,,,,,,,
641857,Ryan McMahon,0,H,1064,3540,469,845,144,470,31,.239,.322,.416,.738,,,,,,,,,,
660761,José Suarez,0,H,99,3,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,
664761,Alec Bohm,0,H,719,2702,338,753,70,395,18,.279,.328,.415,.743,,,,,,,,,,
656305,Matt Chapman,0,H,1150,4167,661,1001,203,565,35,.240,.330,.458,.788,,,,,,,,,,
663586,Austin Riley,0,H,821,3144,480,850,169,483,7,.270,.334,.492,.826,,,,,,,,,,
592518,Manny Machado,0,H,1894,7424,1082,2069,369,1144,113,.279,.338,.486,.824,,,,,,,,,,
665487,Fernando Tatis Jr.,0,H,671,2603,476,720,152,393,124,.277,.354,.513,.867,,,,,,,,,,
682998,Corbin Carroll,0,H,488,1822,357,470,82,248,123,.258,.341,.491,.832,,,,,,,,,,
694192,Jackson Chourio,0,H,279,1077,168,293,42,157,43,.272,.317,.463,.780,,,,,,,,,,
680977,Brendan Donovan,0,H,492,1765,241,498,40,202,15,.282,.361,.411,.772,,,,,,,,,,
701538,Jackson Merrill,0,H,271,994,136,278,40,157,17,.280,.322,.481,.803,,,,,,,,,,
606192,Teoscar Hernández,0,H,1099,4045,571,1054,217,661,59,.261,.316,.484,.800,,,,,,,,,,
671739,Michael Harris II,0,H,522,1970,264,539,73,255,70,.274,.307,.451,.758,,,,,,,,,,
686611,Dylan Crews,0,H,116,412,55,87,13,35,29,.211,.282,.352,.634,,,,,,,,,,
660670,Ronald Acuña Jr.,0,H,817,3156,655,913,186,459,205,.289,.384,.524,.908,,,,,,,,,,
695578,James Wood,0,H,236,893,130,231,40,135,29,.259,.351,.459,.810,,,,,,,,,,
592206,Nick Castellanos,0,H,1688,6412,827,1742,250,920,42,.272,.321,.464,.785,,,,,,,,,,
668715,Spencer Steer,0,H,488,1760,226,428,66,261,47,.243,.329,.421,.750,,,,,,,,,,
673548,Seiya Suzuki,0,H,532,1995,278,536,87,296,36,.269,.346,.472,.818,,,,,,,,,,
665742,Juan Soto,0,H,1096,3857,775,1086,244,697,95,.282,.417,.531,.948,,,,,,,,,,
691718,Pete Crow-Armstrong,0,H,293,977,140,234,41,143,64,.240,.285,.437,.722,,,,,,,,,,
