period_id,period_label,start_date,end_date,team_code,team_name,player_name,mlb_id,positions,is_pitcher,R,HR,RBI,SB,H,AB,AVG,W,SV,K,ER,IP,BB_H,ERA,WHIP
P1,April 20,2025-03-20,2025-04-19,DMK,Diamond Kings,J. Naylor,647304,1B,0,14,4,13,4,25,79,0.316,0,0,0,0,0.0,0,0.0,0.0
P1,April 20,2025-03-20,2025-04-19,DLC,Demolition Lumber Co.,M. Busch,683737,1B,0,13,5,15,0,24,70,0.343,0,0,0,0,0.0,0,0.0,0.0
P1,April 20,2025-03-20,2025-04-19,DDG,Dodger Dawgs,C. Encarnacion-Strand,687952,1B,0,4,2,5,0,9,57,0.158,0,0,0,0,0.0,0,0.0,0.0
P1,April 20,2025-03-20,2025-04-19,SKD,Skunk Dogs,M. Olson,621566,1B,0,6,2,11,0,16,70,0.229,0,0,0,0,0.0,0,0.0,0.0
P1,April 20,2025-03-20,2025-04-19,RGS,RGing Sluggers,F. Freeman,518692,1B,0,6,4,8,0,11,37,0.297,0,0,0,0,0.0,0,0.0,0.0
P1,April 20,2025-03-20,2025-04-19,DMK,Diamond Kings,J. Cronenworth,630105,2B,0,7,2,5,0,9,35,0.257,0,0,0,0,0.0,0,0.0,0.0
P1,April 20,2025-03-20,2025-04-19,DLC,Demolition Lumber Co.,O. Lopez,672640,2B,0,9,2,9,1,17,72,0.236,0,0,0,0,0.0,0,0.0,0.0
P1,April 20,2025-03-20,2025-04-19,DDG,Dodger Dawgs,N. Hoerner,663538,2B,0,10,0,11,6,23,75,0.307,0,0,0,0,0.0,0,0.0,0.0
P1,April 20,2025-03-20,2025-04-19,SKD,Skunk Dogs,M. McLain,680574,2B,0,11,4,9,2,8,44,0.182,0,0,0,0,0.0,0,0.0,0.0
P1,April 20,2025-03-20,2025-04-19,RGS,RGing Sluggers,L. Garcia,671277,2B,0,10,1,5,3,13,63,0.206,0,0,0,0,0.0,0,0.0,0.0
P1,April 20,2025-03-20,2025-04-19,DVD,Devil Dawgs,O. Albies,645277,2B,0,10,4,11,2,19,78,0.244,0,0,0,0,0.0,0,0.0,0.0
P1,April 20,2025-03-20,2025-04-19,LDY,Los Doyers,B. Stott,681082,2B,0,10,1,10,3,20,68,0.294,0,0,0,0,0.0,0,0.0,0.0
P1,April 20,2025-03-20,2025-04-19,DMK,Diamond Kings,E. De La Cruz,682829,SS,0,14,4,21,6,20,83,0.241,0,0,0,0,0.0,0,0.0,0.0
P1,April 20,2025-03-20,2025-04-19,DLC,Demolition Lumber Co.,D. Swanson,621020,SS,0,10,4,11,2,15,86,0.174,0,0,0,0,0.0,0,0.0,0.0
P1,April 20,2025-03-20,2025-04-19,DDG,Dodger Dawgs,F. Lindor,596019,SS,0,11,2,8,2,20,80,0.25,0,0,0,0,0.0,0,0.0,0.0
