mlb_id,player_name,ogba_team_code,positions,is_pitcher,R,HR,RBI,SB,H,AB,AVG,W,SV,K,ER,IP,ERA,BB_H,WHIP,mlb_team_abbr,mlb_team_name,mlb_full_name,mlb_primary_pos,mlb_bats,mlb_throws
647304,J. Naylor,,1B,0,61,15,71,16,123,428,0.287,0,0,0,0,0.0,0.0,0,0.0,,Seattle Mariners,Josh Naylor,1B,L,L
683737,M. Busch,DLC,1B,0,62,26,76,3,116,433,0.268,0,0,0,0,0.0,0.0,0,0.0,,Chicago Cubs,Michael Busch,1B,L,R
687952,C. Encarnacion-Strand,DDG,1B,0,13,6,19,0,27,130,0.208,0,0,0,0,0.0,0.0,0,0.0,,Cincinnati Reds,Christian Encarnacion-Strand,1B,R,R
621566,M. Olson,,1B,0,77,21,76,1,142,524,0.271,0,0,0,0,0.0,0.0,0,0.0,,Atlanta Braves,Matt Olson,1B,L,R
518692,F. Freeman,RGS,1B,0,67,18,75,4,137,457,0.3,0,0,0,0,0.0,0.0,0,0.0,,Los Angeles Dodgers,Freddie Freeman,1B,L,R
630105,J. Cronenworth,DMK,2B,0,50,10,49,2,86,344,0.25,0,0,0,0,0.0,0.0,0,0.0,,San Diego Padres,Jake Cronenworth,2B,L,R
672640,O. Lopez,,2B,0,56,12,65,12,109,445,0.245,0,0,0,0,0.0,0.0,0,0.0,,Miami Marlins,Otto Lopez,2B,R,R
663538,N. Hoerner,DDG,2B,0,66,5,54,23,143,494,0.289,0,0,0,0,0.0,0.0,0,0.0,,Chicago Cubs,Nico Hoerner,2B,R,R
680574,M. McLain,SKD,2B,0,60,12,41,16,95,430,0.221,0,0,0,0,0.0,0.0,0,0.0,,Cincinnati Reds,Matt McLain,2B,R,R
671277,L. Garcia,,2B,0,56,11,55,10,108,415,0.26,0,0,0,0,0.0,0.0,0,0.0,,Gigantes del Cibao,Luis García Jr.,2B,L,R
645277,O. Albies,DVD,2B,0,61,13,60,12,123,522,0.236,0,0,0,0,0.0,0.0,0,0.0,,Atlanta Braves,Ozzie Albies,2B,S,R
681082,B. Stott,LDY,2B,0,56,9,54,23,102,415,0.246,0,0,0,0,0.0,0.0,0,0.0,,Philadelphia Phillies,Bryson Stott,2B,L,R
682829,E. De La Cruz,,SS,0,93,19,77,32,145,532,0.273,0,0,0,0,0.0,0.0,0,0.0,,Cincinnati Reds,Elly De La Cruz,SS,S,R
621020,D. Swanson,DLC,SS,0,74,21,64,11,124,496,0.25,0,0,0,0,0.0,0.0,0,0.0,,Chicago Cubs,Dansby Swanson,SS,R,R
596019,F. Lindor,DDG,SS,0,94,26,76,25,147,548,0.268,0,0,0,0,0.0,0.0,0,0.0,,New York Mets,Francisco Lindor,SS,S,R
607208,T. Turner,,SS,0,92,14,64,34,168,560,0.3,0,0,0,0,0.0,0.0,0,0.0,,Philadelphia Phillies,Trea Turner,SS,R,R
665833,O. Cruz,RGS,SS,0,60,19,53,35,83,408,0.203,0,0,0,0,0.0,0.0,0,0.0,,Pittsburgh Pirates,Oneil Cruz,CF,L,R
666149,T. Fitzgerald,DVD,SS,0,19,4,14,9,47,217,0.217,0,0,0,0,0.0,0.0,0,0.0,,San Francisco Giants,Tyler Fitzgerald,2B,R,R
605141,M. Betts,,SS,0,80,14,59,8,121,488,0.248,0,0,0,0,0.0,0.0,0,0.0,,Los Angeles Dodgers,Mookie Betts,SS,R,R
593428,X. Bogaerts,TSH,SS,0,60,10,49,20,124,473,0.262,0,0,0,0,0.0,0.0,0,0.0,,San Diego Padres,Xander Bogaerts,SS,R,R
571448,N. Arenado,DMK,3B,0,43,10,43,2,85,361,0.235,0,0,0,0,0.0,0.0,0,0.0,,St. Louis Cardinals,Nolan Arenado,3B,R,R
641857,R. McMahon,,3B,0,51,18,41,2,88,420,0.21,0,0,0,0,0.0,0.0,0,0.0,,New York Yankees,Ryan McMahon,3B,L,R
660761,E. Suarez,DDG,3B,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,,Navegantes del Magallanes,José Suarez,P,L,L
