#,Name,Team,Pos,$
1,Shohei Ohtani,LAD,DH,$44
2,Juan Soto,NYM,OF,$39
3,Ronald Acuna Jr.,ATL,OF,$35
4,Elly De La Cruz,CIN,SS,$35
5,Fernando Tatis Jr.,SD,OF,$33
6,Kyle Tucker,LAD,OF,$31
7,Corbin Carroll,ARI,OF,$30
8,Jackson Chourio,MIL,OF,$30
9,Paul Skenes,PIT,SP,$29
10,James Wood,WSH,OF,$28
11,Pete Crow-Armstrong,CHC,OF,$28
12,Trea Turner,PHI,SS,$27
13,Ketel Marte,ARI,2B,$27
14,Manny Machado,SD,3B,$27
15,Kyle Schwarber,PHI,DH,$26
16,Bryce Harper,PHI,1B,$26
17,Francisco Lindor,NYM,SS,$26
18,Eugenio Suarez,CIN,3B,$25
19,Mookie Betts,LAD,SS,$25
20,Matt Olson,ATL,1B,$25
21,Freddie Freeman,LAD,1B,$25
22,CJ Abrams,WSH,SS,$24
23,Agustin Ramirez,MIA,C,$24
24,William Contreras,MIL,C,$24
25,Jackson Merrill,SD,OF,$23
26,Cristopher Sanchez,PHI,SP,$23
27,Chris Sale,ATL,SP,$22
28,Edwin Diaz,LAD,RP,$22
29,Rafael Devers,SF,1B,$22
30,Austin Riley,ATL,3B,$22
31,Bo Bichette,NYM,SS,$22
32,Michael Harris II,ATL,OF,$21
33,Hunter Goodman,COL,C,$21
34,Logan Webb,SF,SP,$21
35,Jesus Luzardo,PHI,SP,$21
36,Yoshinobu Yamamoto,LAD,SP,$20
37,Teoscar Hernandez,LAD,OF,$20
38,Seiya Suzuki,CHC,OF,$20
39,Brice Turang,MIL,2B,$20
40,Andy Pages,LAD,OF,$20
41,Geraldo Perdomo,ARI,SS,$20
42,Hunter Greene,CIN,SP,$19
43,Freddy Peralta,NYM,SP,$19
44,Mason Miller,SD,RP,$19
45,Oneil Cruz,PIT,OF,$19
46,Will Smith,LAD,C,$18
47,Spencer Strider,ATL,SP,$18
48,Noelvi Marte,CIN,3B/OF,$18
49,Alex Bregman,CHC,3B,$18
50,Alec Burleson,STL,1B/OF,$18
51,Nick Pivetta,SD,SP,$18
52,Jhoan Duran,PHI,RP,$18
53,Michael Busch,CHC,1B,$18
54,Blake Snell,LAD,SP,$17
55,Willy Adames,SF,SS,$17
56,Michael King,SD,SP,$17
57,Drake Baldwin,ATL,C,$17
58,Zack Wheeler,PHI,SP,$17
59,Shota Imanaga,CHC,SP,$16
60,Ezequiel Tovar,COL,SS,$16
61,Tyler Glasnow,LAD,SP,$16
62,Luis Arraez,SF,1B,$16
63,Ian Happ,CHC,OF,$16
64,Bryan Reynolds,PIT,OF,$16
65,Brandon Woodruff,MIL,SP,$16
66,Adolis Garcia,PHI,OF,$16
67,Luis Robert Jr.,NYM,OF,$16
68,Daylen Lile,WSH,OF,$16
69,Dylan Crews,WSH,OF,$15
